Aerosols,"Recycling box",1,orange,
"Aluminium cans","Recycling box",1,orange,
"Aluminium foil","Recycling box",1,orange,
"Aluminium trays","Recycling box",1,orange,
"Animal bedding (such as paper or cloth)","Black wheelie bin/blue bag",0,black,
Asbestos,"HWRC. See also: <a href=""https://www.swindon.gov.uk/info/20015/bins_rubbish_and_recycling/139/dispose_of_asbestos_safely"">Dispose of asbestos safely</a>",1,grey,
"Baby food jars","Recycling box",1,orange,
"Baby food pouches","Black wheelie bin/blue bag",0,black,
"Baking trays","Black wheelie bin/blue bag/HWRC",1,black,
Baths,"<a href=""https://www.swindon.gov.uk/info/20015/bins_rubbish_and_recycling/16/disposal_of_large_household_items_bulky_waste"">Bulky waste collection</a>/HWRC",1,grey,
"Bathroom suites",HWRC,1,grey,
"Batteries (household)","HWRC/most large supermarkets",1,grey,
"Batteries (vehicle)",HWRC,1,grey,
"BBQs - gas or electric","Bulky waste collection/HWRC",1,grey,
"Bedding (pillows and duvets)",HWRC,1,grey,
Bicycles,"HWRC/charity shop",1,grey,
"Biscuit wrappers","Black wheelie bin/blue bag",0,black,
"Black plastic","Black wheelie bin/blue bag",0,black,
"Books (paper/ card)","Recycling box/HWRC",1,orange,
"Books (plastic)","Black wheelie bin/blue bag",0,black,
"Bottles (glass)","Recycling box",1,orange,
"Branches (up to three inches in diameter)","Garden waste collection",1,green,
Bricks,HWRC,1,grey,"limits on quantity"
"Bubble wrap","Black wheelie bin/blue bag",0,black,
Buckets,"Black wheelie bin/blue bag/HWRC",1,black,"for hard plastics"
"Building rubble",HWRC,1,grey,"limits on quantity"
"Candles and Tea Lights","Black wheelie bin/blue bag",0,black,
"Cans (steel &amp; aluminium)","Recycling box",1,orange,
"Car batteries",HWRC,1,grey,
"Car parts","Please use specialist auto recycler",0,,"not accepted at HWRC"
"Cardboard (large pieces)",HWRC,1,grey,
"Cardboard (small pieces)","Recycling box",1,orange,"needs to be broken down into as size no wider than the recycling lid"
"Cards (non-metallic)","Recycling box",1,orange,
"Cards (metallic)","Black wheelie bin/blue bag",0,black,
Carpets/underlay,"Bulky waste collection/HWRC",1,grey,
"Cartons (food and drink)","Black wheelie bin/blue bag",0,black,
"Cast iron",HWRC,1,grey,
Catalogues,"Recycling box",1,orange,
Catheters,"<a href=""https://www.swindon.gov.uk/info/20015/bins_rubbish_and_recycling/169/clinical_waste_collections"">Clinical waste collection</a>",0,,arranged
CDs/DVDs,HWRC,1,grey,
"Ceiling plaster",HWRC,1,grey,
"Ceramic/terracotta plant pots",HWRC,1,grey,
"Cereal box","Recycling box",1,orange,
"Cheese wax (natural e.g. beeswax)","Black wheelie bin/blue bag",0,black,
"Cheese wax (synthetic e.g. plastic)","Black wheelie bin/blue bag",0,black,
"Chemicals (household)",HWRC,1,grey,
"Christmas trees","Special seasonal waste collection",1,,
"Cling film","Black wheelie bin/blue bag",0,black,
"Clinical waste","Clinical waste collection",0,,arranged
Clothes,"Textiles collection",1,orange,"in a carrier bag"
"Coat hangers","Black wheelie bin/blue bag",0,black,
Compost,HWRC,1,grey,"limits on quantity"
